iid,dataset,size,key,elapsed,result,target
1917,ZKW,4,solve_ftapas_15,0.00043487548828125,3813,3813
116,NK,25,solve_ftapas_15,0.1555628776550293,23039,23039
309,ZKC,22,solve_ftapas_15,0.15002989768981934,22298,22298
19,ZKC,20,solve_ftapas_15,0.10936784744262695,16955,16955
125,NK,10,solve_ftapas_15,0.008774995803833008,10056,10056
187,NK,25,solve_ftapas_15,0.15454697608947754,15269,15289
1348,ZKW,10,solve_ftapas_15,0.00436711311340332,4992,4992
483,ZKC,10,solve_ftapas_15,0.007654905319213867,6324,6324
330,ZKC,15,solve_ftapas_15,0.027068138122558594,11771,11779
827,ZKW,4,solve_ftapas_15,0.0004749298095703125,4104,4104
1200,ZKW,15,solve_ftapas_15,0.021374940872192383,3528,3528
438,ZKC,15,solve_ftapas_15,0.028245210647583008,11595,11595
54,NK,10,solve_ftapas_15,0.00793910026550293,3487,3487
312,ZKC,27,solve_ftapas_15,0.2542610168457031,27390,27392
280,ZKC,25,solve_ftapas_15,0.1864619255065918,22783,22785
229,ZKC,22,solve_ftapas_15,0.10617208480834961,19597,19597
172,NK,22,solve_ftapas_15,0.134033203125,18684,18684
309,ZKC,15,solve_ftapas_15,0.03471207618713379,12654,12654
981,ZKW,10,solve_ftapas_15,0.0025017261505126953,10288,10288
133,NK,15,solve_ftapas_15,0.03130793571472168,16547,16547
52,ZKC,22,solve_ftapas_15,0.0999140739440918,17181,17185
293,ZKW,4,solve_ftapas_15,0.0005681514739990234,4311,4311
143,NK,10,solve_ftapas_15,0.0074481964111328125,4007,4007
224,NK,22,solve_ftapas_15,0.10169506072998047,26765,26765
84,ZKW,4,solve_ftapas_15,0.0005638599395751953,2439,2439
5,NK,10,solve_ftapas_15,0.006474971771240234,11668,11668
326,NK,10,solve_ftapas_15,0.009422063827514648,14609,14609
1219,ZKW,4,solve_ftapas_15,0.0005061626434326172,6255,6255
239,NK,22,solve_ftapas_15,0.09666895866394043,25940,25941
237,ZKC,10,solve_ftapas_15,0.008395910263061523,8630,8648
52,NK,10,solve_ftapas_15,0.008554935455322266,12044,12044
22,ZKW,4,solve_ftapas_15,0.0006546974182128906,1891,1891
263,ZKC,25,solve_ftapas_15,0.16140198707580566,22548,22548
261,ZKC,27,solve_ftapas_15,0.17479395866394043,20330,20331
227,NK,22,solve_ftapas_15,0.10282492637634277,26666,26666
94,ZKC,15,solve_ftapas_15,0.03471183776855469,11855,11855
486,ZKC,4,solve_ftapas_15,0.0007588863372802734,2082,2082
134,ZKC,25,solve_ftapas_15,0.18679404258728027,24975,24977
243,ZKC,27,solve_ftapas_15,0.22674012184143066,26097,26113
314,ZKC,15,solve_ftapas_15,0.034420013427734375,14138,14153
354,NK,25,solve_ftapas_15,0.15579700469970703,18933,18933
195,NK,25,solve_ftapas_15,0.15016388893127441,16001,16001
491,ZKC,15,solve_ftapas_15,0.0326080322265625,12791,12793
79,ZKW,25,solve_ftapas_15,0.06405830383300781,5635,5635
680,ZKW,25,solve_ftapas_15,0.14313173294067383,2357,2357
1117,ZKW,15,solve_ftapas_15,0.01379704475402832,6819,6819
47,NK,4,solve_ftapas_15,0.0011150836944580078,4753,4753
294,NK,15,solve_ftapas_15,0.03149294853210449,17331,17331
409,NK,10,solve_ftapas_15,0.006796836853027344,6793,6793
20,NK,15,solve_ftapas_15,0.032787322998046875,18705,18705
1454,ZKW,4,solve_ftapas_15,0.0007281303405761719,3300,3300
460,ZKC,25,solve_ftapas_15,0.1621561050415039,20530,20530
173,NK,25,solve_ftapas_15,0.14615225791931152,29568,29568
316,NK,25,solve_ftapas_15,0.1746387481689453,27323,27323
299,ZKW,4,solve_ftapas_15,0.00048422813415527344,5815,5815
880,ZKW,15,solve_ftapas_15,0.014686822891235352,8350,8350
337,NK,10,solve_ftapas_15,0.008901834487915039,8733,8745
408,ZKC,4,solve_ftapas_15,0.0005581378936767578,2771,2771
283,ZKC,22,solve_ftapas_15,0.11265897750854492,19701,19708
117,NK,4,solve_ftapas_15,0.0006551742553710938,2445,2445
496,ZKC,27,solve_ftapas_15,0.20089101791381836,23369,23371
316,ZKC,27,solve_ftapas_15,0.17333507537841797,21287,21287
148,ZKC,10,solve_ftapas_15,0.008594274520874023,7793,7793
427,NK,22,solve_ftapas_15,0.10834622383117676,16198,16198
1589,ZKW,15,solve_ftapas_15,0.027339935302734375,2498,2498
231,ZKC,4,solve_ftapas_15,0.0008280277252197266,3930,3930
362,ZKC,10,solve_ftapas_15,0.007003307342529297,7951,7951
486,NK,4,solve_ftapas_15,0.0006730556488037109,2035,2035
147,ZKC,22,solve_ftapas_15,0.09462499618530273,16548,16548
358,ZKC,15,solve_ftapas_15,0.029318809509277344,10472,10472
281,ZKW,4,solve_ftapas_15,0.0005331039428710938,2539,2539
416,NK,4,solve_ftapas_15,0.001007080078125,4611,4611
226,ZKC,27,solve_ftapas_15,0.1993699073791504,21691,21691
1299,ZKW,4,solve_ftapas_15,0.00037598609924316406,16852,16852
81,NK,20,solve_ftapas_15,0.07259416580200195,21600,21600
306,ZKC,22,solve_ftapas_15,0.10009503364562988,18088,18088
470,NK,25,solve_ftapas_15,0.16160202026367188,31465,31465
295,ZKW,22,solve_ftapas_15,0.07812619209289551,3198,3198
408,ZKC,20,solve_ftapas_15,0.08176684379577637,17384,17386
448,NK,20,solve_ftapas_15,0.08525300025939941,23116,23116
64,NK,4,solve_ftapas_15,0.0006051063537597656,4289,4289
48,ZKW,15,solve_ftapas_15,0.014303922653198242,5805,5814
342,ZKC,27,solve_ftapas_15,0.21854805946350098,24961,24982
497,NK,22,solve_ftapas_15,0.09817004203796387,19024,19024
361,NK,15,solve_ftapas_15,0.028436899185180664,17268,17268
478,NK,20,solve_ftapas_15,0.08497405052185059,24526,24526
849,ZKW,4,solve_ftapas_15,0.0005307197570800781,5884,5884
152,NK,22,solve_ftapas_15,0.10757780075073242,6517,6517
366,NK,22,solve_ftapas_15,0.08701491355895996,21993,21993
118,ZKC,22,solve_ftapas_15,0.12014079093933105,21476,21477
414,NK,27,solve_ftapas_15,0.2166450023651123,31683,31683
459,ZKC,4,solve_ftapas_15,0.0006699562072753906,3980,3980
119,NK,15,solve_ftapas_15,0.027289152145385742,11394,11394
213,NK,4,solve_ftapas_15,0.0007140636444091797,2063,2063
60,ZKC,20,solve_ftapas_15,0.08532094955444336,18540,18544
215,NK,10,solve_ftapas_15,0.0076372623443603516,10389,10389
