opcount,elapsed,optimizations,size,itype
60,0.0006956429999718239,"{'weight', 'residuals'}",22,ZR
262449,1.7450002380001024,set(),22,ZR
118,0.000905152999848724,{'weight'},10,ZR
275,0.002449224999963917,{'residuals'},25,ZR
19,0.00021213900004113384,"{'weight', 'residuals'}",4,ZR
11,0.00011476700001367135,{'residuals'},4,NR
467,0.0047560400000747904,{'residuals'},22,NR
40,0.00030984599993644224,set(),10,ZR
31,0.0002482680001776316,set(),4,ZR
21,0.00021799299997837807,"{'weight', 'residuals'}",4,ZR
3,4.127399984099611e-05,{'weight'},10,NR
17,0.00020344599988675327,set(),25,NR
31425,0.2559747249999873,{'residuals'},15,NR
